Title,Ingredients
Bánh hạnh nhân việt quất – Blueberry almond cakelets,"75g bột mì đa dụng
1/8 tsp muối
180g bột hạnh nhân
180g bơ, để mềm
180g đường bột
6 lòng trắng trứng
125g blueberries"
Bánh quy với chanh xanh,"535g bột mì đa dụng
1 tsp baking soda
1/2 tsp muối
50g hạt hướng dương, rang lên và xay thành bột
125g bơ nhạt, để mềm
350g đường trắng
2 tbs dầu ô liu
2 quả chanh, bào lấy vỏ
2 quả trứng to
3 tbs nước cốt chanh"
Bánh cookie với hạt hướng dương,"100g bột mì đa dụng
1/2 tsp baking powder
1/4 tsp bột quế
1/8 tsp muối
60g bơ, để mềm
35g đường nâu nhạt
1 quả trứng to
90g nho khô, thái nhỏ
50g mơ khô, thái nhỏ
50g hạnh nhân, thái vụn
50g hạt hướng dương"
"Pizza ngọt với táo, cranberry và dừa khô","50g cranberry khô
4 quả táo cỡ trung bình, gọt vỏ, bỏ lõi, thái nhỏ
2 tbs đường nâu
25g bơ nhạt, đun chảy.
2 tsp nước cốt chanh
1 tsp bột quế
20g dừa xay, sấy khô (tùy thích, có thể có dừa hoặc không có, pizza vẫn rất ngon )"
Bánh cupcake mơ khô,"300g (2 cups) bột mì đa dụng
2 tsp baking powder
1/4 tsp muối
70g mơ khô, thái vụn nhỏ (dried apricot, loại quả mơ khô màu vàng ươm, rất đẹp mắt)
180ml (3/4 cup) nước lạnh
125g bơ, cắt thành khối nhỏ
100g đường nâu hạt nhỏ mịn
125ml (1/2 cup) sữa tươi
1 quả trứng to, đánh nhẹ cho tan
2 tsp vanilla"
Apple raisin pizza – Pizza ngọt với táo và nho khô,"50g nho khô
4 quả táo cỡ trung bình, gọt vỏ, bỏ lõi, cắt thành miếng nhỏ
2 tbs đường nâu
25g bơ nhạt, đun chảy
2 tsp nước cốt chanh
1 tsp bột quế"
Bánh cheesecake bí đỏ,"120g bánh quy (cracker hoặc marie)
15g đường trắng
50g bơ nhạt, đun chảy"
Bánh quy dừa,"150g bột mì đa dụng
1 tsp baking powder
1/8 tsp muối
125g bơ nhạt, để mềm
70g đường trắng
1 quả trứng to
125g dừa vụn khô"
Bánh kem chanh dừa,"6 quả trứng, tách riêng lòng trắng đỏ. (trứng ở nhiệt độ phòng)
350g (2 1/2 cups) bột mì đa dụng
2 tsp baking powder
1/2 tsp baking soda
1/2 tsp muối
170g bơ nhạt, để mềm ở nhiệt độ phòng
200g đường trắng  (công thức gốc: 350g)
1 tsp vanilla
360ml (1 1/2 cups) buttermilk (làm buttermilk bằng cách vắt vào mỗi 240ml sữa tươi 1 tbs nước cốt chanh)
60ml nước cốt dừa
1/2 tsp cream of tartar"
Bánh kem socola ngọt ngào cho lễ tình yêu Valentine,"42g (3 tbs) bơ chảy, nóng
1 tsp vanilla
65g (1/2 cup) cake flour
30g (1/3 cup) bột cacao
4 quả trứng to
100g đường trắng"
Bánh muffins vị cheesecake và dâu tây,"125g bơ nhạt, để mềm
250g creamcheese
200g đường trắng
4 quả trứng
1 tsp vanilla
300g self-rising flour , rây mịn
1/8 tsp muối
300g dâu tây, thái lát"
Cookies cà rốt,"75g (1/2 cup) bột mì đa dụng
1 tsp baking powder
1/8 tsp muối
35g đường
2 tbs vỏ chanh vàng bào nhuyễn
2 tbs margarine hoặc bơ, để mềm
200g (1 2/3 cup ) cà rốt bào vụn"
Cookie cam nho khô,"200g (1 1/3 cup) bột mì đa dụng
1/2 tsp baking powder
1/2 tsp muối
125g (1/2 cup) bơ, để mềm
90g đường
1 quả trứng to, đánh nhẹ cho tan
1/2 tsp vanilla
120g (2/3 cup) nho khô
1 tbs vỏ cam bào vụn"
Bánh bơ vị chanh và quả nam việt quất khô,"90ml nước cốt chanh
2 tbs brandy
125g cranberry khô"
Bánh scone với mứt quả,"280g bột mì đa dụng
50g đường trắng
1/4 tsp baking soda
1 tsp baking powder
1/4 tsp muối
113g bơ lạnh
160ml butter milk  (nếu không có butter milk, cho vào 1 cup (240ml) sữa tươi 1 tsp nước cốt chanh)
Vỏ của 1 quả chanh, bào nhỏ
1 quả trứng. đánh tan
1 tsp vanilla
120ml (1/2 cup) whipping cream"
Bánh bí ngòi rán chảo,"1 quả zucchini nhỏ
1/2 quả ớt chuông đỏ
Vài nhánh hành lá
1 tsp. dầu rau
1/2 tsp dầu vừng
240ml (1 cup) nước
1 quả trứng
1 cup bột mì đa dụng
1/2 tsp muối
2 tsp dầu ăn"
Bánh mì Ciabatta,"1/8 tsp. men khô  (active dried yeast)
30ml (2 tbsp) nước ấm
75ml (5 tbsp) nước ở nhiệt độ thường  (không nóng không lạnh – tepid water)
125g bột bánh mì"
Bánh dứa úp ngược,"Dứa: nên chọn loại dứa thơm, không cần phải to quá (1-2 quả nhỏ là được)
120g bơ, để mềm
100g đường trắng  + 70g đường để làm màu caramel
2 quả trứng, tách riêng lòng đỏ/trắng
200g bột mì đa dụng
20g bột ngô
2 tsp. baking powder
125ml sữa tươi
1/2 tsp cream of tartar"
Bánh cupcake hạt óc chó không dùng bột mì,"285g hạt óc chó
4 lòng trắng trứng + 2 lòng trắng (dùng riêng nên mới phải tách rời nhau thế này :P)
50g đường bột
100g bơ, để thật mềm
25g đường trắng
1/8 tsp muối"
Cách làm bánh bông lan khoai môn,"5 quả trứng, tách riêng lòng trắng/đỏ
65g cake flour (6 tablespoons)
55g bột ngô (5 tablespoons)
80g đường
1/8 tsp vanilla
1 tbs. dầu rau
2 tbs sữa tươi
1 tsp nước chanh"
Bánh cheesecake vị chocolate với quả anh đào,"200g bánh oreo (không kẹp kem)
100g bơ chảy
375g cream cheese, để mềm
125g kem chua (sour cream hoặc sữa chua không đường)
80g đường
2 quả trứng
1 tsp vanilla
70g chocolate đen, thái vụn
100g quả anh đào, rửa sạch, lau khô
1 lòng trắng trứng thật tươi, đánh tan"
Bánh pie việt quất,"225g ( 1 1/2 cup) bột mì đa dụng
2 tbs đường bột
125g bơ lạnh, cắt thành khối nhỏ
2-3 thìa nước đá
300g blueberry tươi
1 tbs đường nâu demerara (dùng loại đường nâu khác chắc cũng được)
1 tbs nước cốt chanh
Vỏ bào của 1 quả chanh
40g (1/3 cup) bột hạnh nhân, chia 4 phần
1 tbs bột ngô , chia 4 phần
1 quả trứng (chỉ dùng để bôi ngoài vỏ bánh cho bánh có màu vàng đẹp thôi)"
Bánh tart cam,"150g bột mì đa dụng
1/4 tsp baking powder
40g đường trắng
100g bơ nhạt , cắt thành các mẩu nhỏ
1 lòng đỏ
1 tsp nước cốt chanh"
Bánh chocolate trắng với bột trà xanh,"120g bơ nhạt, đun chảy
78g chocolate trắng
3 quả trứng
100g đường
180g bột mì đa dụng, rây mịn
1 tsp baking powder
1 nhúm muối
1 1/2 tsp bột trà xanh"
Bánh cookie nhân mứt – Rosenmunnar,"110g bơ, để mềm
40g đường trắng
120g bột mì đa dụng, rây mịn
Mứt hoa quả tùy theo khẩu vị"
Bánh quy xứ Wales,"250g bột mì đa dụng
2 tsp baking powder
1 nhúm muối
70g đường trắng
55g bơ , cắt thành khối nhỏ
50g shortening
70g quả lý chua khô (currant)
1 quả trứng
60ml sữa tươi"
Gingerbread Men – bánh quy gừng Noel,"420g bột mì đa dụng
1/4 tsp muối
3/4 tsp baking soda
2 tsp bột gừng
1 tsp bột quế
1/4 tsp bột nutmeg (bột của hạt nhục đậu khấu)
1/4 tsp bột đinh hương (cloves)
113 g bơ, để nhiệt độ phòng
70-80g đường
1 quả trứng to
160ml mật mía (molasses)"
Pizza rau,"Đế pizza, loại đế mỏng (xem ở đây)
Sốt cà chua dùng cho pizza (mình dùng loại sốt đóng lọ mua sẵn, vì không đắt mà ăn thấy rất ngon. Khi nào mình thử tự làm sốt, cũng là để thử công thức, nếu ngon lành thì sẽ chia sẻ sau)
Phomat Mozzarella, thái sợi
Cà chua đỏ chín mọng . thái lát
Nấm hương tươi, cắt lát
1 củ hành tây nhỏ, thái lát thật mỏng
Ớt chuông xanh, thát lát mỏng
Quả ô liu xanh và đen, bỏ hạt, cắt thành vòng tròn nhỏ."
Bánh tart chanh,"byĐặng Ngọc Linh
April 17, 2009"
Bánh kem phômai socola – Chocolate cheesecake,"130g bánh Oreo.
50g bơ nhạt, làm chảy.
98ml thickened cream
130g chocolate đen hoặc semi-sweetened chocolate
98g chocolate sữa
260g creamcheese
325g ricotta cheese
80g đường
1/3tsp vanilla
3 quả trứng, tách riêng lòng trắng đỏ"
Chocolate brulees,"600ml thickened cream
120g dark chocolate, thái vụn.
6 lòng đỏ trứng
60g đường"
Bánh rán ngọt – bánh cam,"byĐặng Ngọc Linh
May 27, 2017"
Cách làm bánh flan cơ bản,"500ml sữa tươi
4 lòng đỏ + 2 quả trứng
65g đường
1tsp vanilla
1 nhúm muối
40g đường + 20ml nước"
Bánh bơ vanilla chocolate,"150g bơ
180g đường
2 quả trứng
1tsp vanilla
375g self-rising flour
250ml sữa
1 tbs. bột cacao
100g icing sugar
2tbs. bột cacao, 20g bơ (để làm chocolate rưới trên bánh)
2 tbs. nước sôi"
Cách làm Red Velvet Cake,"250g cake flour, rây mịn.
1 tsp baking powder
1 tsp muối
2 tbs. bột cacao (Dutch processed cocoa powder)
113g bơ nhạt, để mềm ở nhiệt độ phòng
200g đường trắng
2 quả trứng to
1 tsp vanilla
240 ml buttermilk ( mình thay bằng 240ml milk + 1 tbs nước cốt chanh, để yên khoảng 5 – 10 phút rồi dùng)
1 tbs strawberry paste (hoặc dùng 2 tbs màu (nước) đỏ thực phẩm)
1tsp dấm gạo
1 tsp baking soda"
Bánh tart kem phômai quả phúc bồn tử,"210g bột mì đa dụng
113g bơ nhạt , để hơi mềm.
40g đường trắng
1 quả trứng , đánh vừa nhuyễn
1/8 tsp. muối"
Bánh socola kem creamcheese cực ngon,"170g semisweet chocolate (ko biết trong tiếng Việt gọi semisweet là gì, chả lẽ là “bán ngọt”), thái vụn.
85g chocolate đắng, thái vụn.
1 cup (110g) bột mì đa dụng
3/4 cup (170g) đường trắng
225g bơ nhạt, mềm
3 trứng to
1/4tsp. muối
1 tsp vanilla"
Bánh bông lan cuộn vị lá dứa,"3 trứng, tách riêng lòng trắng, đỏ.
30g bột mì đa dụng
30g bột ngô
20g đường (1)
20ml (1tbs) dầu hạt cải
50-60ml nước lá dứa (lá dứa rửa sạch, xay nát và vắt lấy nước. Nước càng đặc thì màu xanh càng lên rõ. Nếu có pandan paste thì chỉ cần vài giọt là có thể tạo thành màu rất xanh rồi)
1tbs. bột sữa dừa  (coconut milk powder)
1/4 tsp cream of tartar
1/2 tsp baking powder
30g đường (2)"
Bánh kem phômai quả dâu đen,"45g bột mì đa dụng
45g đường trắng
1/2 tsp bột quế
55g bơ nhạt, lạnh, cắt ra thành khối nhỏ"
Bánh bông lan vị cam,"165g cake flour (nếu dùng plain flour thì trộn theo tỉ lệ: 130g cake flour = 105g plain flour + 30g corn starch)
115g đường
2 quả trứng to , tách riêng lòng trắng đỏ
113g bơ để mềm
1/2 cup (120ml) nước cam
1/2 tsp. muối
2 1/2 tsp baking powder
1/2 tsp vanilla"
Cách làm bánh quả việt quất,"140g bột mì đa dụng
1 thìa cafe (tsp) bột nở (baking powder)
1/8 tsp muối
56g bơ nhạt, để nhiệt độ phòng
70g đường trắng
1 quả trứng to
1/4 tsp bột vanilla
70ml sữa tươi
Tất cả chỗ 250g blueberry kia (thế vẫn còn là ít nhưng thôi dùng tạm)"
Bánh Tiêu,"350g bột bánh mì (bread flour)
210ml nước (thay vì 235ml)
5g men nở (instant yeast – trời lạnh thì dùng 7g)
Hòa tan trong nước ấm khoảng 30 – 40 độ C
15g đường
5g muối
5g bột nở (baking powder)
Vừng"
Cách làm bánh cupcake socola kem phomai,"* Nhân cream cheese:
– 227g cream cheese, để nhiệt độ phòng.
– 50g đường trắng
– 1 quả trứng to
– 1/2 tsp vanilla
* Bánh chocolate:
– 210g bột mì đa dụng
– 170g đường nâu
– 30g bột cacao
– 1 tsp baking soda
– 1/4 tsp muối
– 240ml nước
– 80ml dầu ăn
– 1 tbs dấm trắng (distilled vinegar – hoặc bạn có thể dùng dấm tự nhiên – natural vinegar hoặc dấm táo – apple cider vinegar)
– 1 tsp vanilla"
Công thức làm bánh chanh vàng – Lemon bars,(khuôn vuông 20x20cm)
Công thức bánh Pavlova dâu tây,"– 120g lòng trắng trứng
– 140g đường trắng hạt mịn hoặc đường bột
– 1 tsp dấm trắng
– 1/2 tbs bột ngô
– 1 cup (240ml) whipping cream
– 1 tbs đường trắng
– 1/2 tsp tinh chất vanilla"
Cách làm Bánh quy hoa hạnh nhân,"(làm cũng được khá khá nhiều)
– 225g bột mì đa dụng
– 1/4 tsp muối
– 190g bơ nhạt, để mềm
– 90g đường trắng
– 1 tbs vanila
– 100g bột hạnh nhân
"
Công thức bánh cà rốt ngon tuyệt – Carrot cake nuts with cream cheese icing,"(2 khuôn tròn 20-21 cm)
* Phần bánh:
– 100g hạt óc chó, rang chín, giã dập
– 340g cà rốt tươi
– 280g bột mì đa dụng
– 1 tsp baking soda
– 1 1/2 tsp baking powder
– 1/2 tsp muối
– 1 1/2 tsp bột quế
– 4 quả trứng to
– 200g đường trắng
– 240ml dầu hạt cải
– 2 tsp vanilla
* Phần cream cheese icing:
– 57g bơ nhạt, để mềm ở nhiệt độ phòng
– 227g cream cheese, nhiệt độ phòng
– 150g đường bột, rây mịn
– 1 tsp vanilla
– vỏ bào mịn của 1 quả chanh (vàng)
– 100g hạt dẻ (hazelnut), rang chín, giã dập.
"
Bánh quy trái tim vị mật mía,"(30-35 cái)
– 275g bột mì đa dụng
– 1/4 tsp bột allspice
– 1/4 tsp baking soda
– 1/4 tsp bột quế
– 1/4 tsp bột đinh hương (cloves)
– 1/4 tsp bột gừng
– 1/4 tsp bột nutmeg
– 1/8 tsp muối
– 125g (1/2 cup) molasses
– 140g đường nâu nhạt
– 60g bơ nhạt, đun chảy
"
Pancake ngô ngọt,"– 200-250g ngô ngọt đã tách hạt
– 20ml sữa tươi làm nóng
– 15g bột mì đa dụng
– 1 chút muối và tiêu
– 2 lòng trắng trứng to hoặc 3 lòng trắng trứng nhỏ
– ít dầu ăn để bôi chảo"
Cách làm Bánh gối,"(phần này mình chỉ đưa ra tỉ lệ làm vỏ bánh và nhân bánh riêng rẽ, không nhất thiết là số lượng vỏ sẽ đủ để sử dụng hết nhân và ngược lại)
– 200g bột mì đa dụng
– Nước lạnh
Không có tỉ lệ cụ thể cho nước và bột vì 1 tỉ lệ chính xác là không thể do phụ thuộc vào nhiệt độ và độ ẩm môi trường. Cho từng chút nước vào bột, nhào bột rồi lại thêm nước, đến khi hỗn hợp bột trở nên dẻo, mịn, không dính tay, bột róc hết khỏi thành bát. Ban đầu nhào sẽ cảm thấy bột nặng nhưng đừng nên vì thế mà cho thêm nước, vì nhào một lúc bột sẽ mềm ra, ẩm hơn.
Để bột nghỉ khoảng 20 phút rồi chia bột thành nhiều mẩu nhỏ, cán từng mẩu bột thành miếng mỏng khoảng 1-2mm, áo bột nếu cần. Dùng miệng bát ăn cơm ấn lên để cắt được miếng bột hình tròn. Nên làm xong chiếc vỏ nào thì dùng để gói bánh luôn, vì vỏ mỏng, phơi lâu sẽ bị khô và cứng đi nếu để ở nơi nhiều gió, hoặc sẽ bị ẩm làm dính miếng nọ với miếng kia vào nhau.
– 300g thịt lợn xay
– 100g miến, ngâm nở mềm , cắt vụn
– 5, 6 cái mộc nhĩ, ngâm nở mềm , thái nhỏ
– 1 chục cái nấm hương, ngâm nở mềm, thái nhỏ
– 1 củ đậu cỡ vừa, thái hoặc bào vụn  (thay củ đậu bằng su hào cũng ngon)
– 2 củ cà rốt cỡ vừa, thái hoặc bào vụn
– Nước mắm, hạt tiêu, nêm mặn vừa khẩu vị
Trộn tất cả các nguyên liệu làm nhân với nhau.
Cái này thì tùy mỗi người, tùy sự khéo léo và sáng tạo để gói nhiều hay ít nhân và tạo hình cho mỗi chiếc bánh.
Rán bánh trong nồi nhỏ hoặc chảo lõm, rán ngập dầu đến khi vỏ bánh vàng ươm đều là được.
Pha nước chấm chua cay mặn ngọt truyền thống, như nước chấm nem, với mắm, đường, dấm, tỏi, ớt, rồi hòa thêm chút tương ớt vào bát nước chấm để có màu đỏ tươi. Thay dấm bằng chanh hoặc quất cho có thêm mùi thơm nếu thích.
"
Công thức làm Bánh bông lan chiffon cam,"(cho khuôn tube đường kính 20cm hoặc loại 8”)
– 80g cake flour
– 50g đường trắng
– 2g muối
– 4g baking powder
– 40g dầu ăn (nên dùng loại dầu ngon)
– 48g lòng đỏ trứng
– 40g nước cam + 20g nước
– 2g vanilla
– 1 tbs vỏ cam bào vụn
– 80g lòng trắng trứng
– 30g đường
– 1/16 tsp cream of tartar"
Cookie phủ cacao,"(làm 20-25 cái)
– 250g bột mì đa dụng
– 1 tsp baking powder
– 1/8 tsp muối
– 90g bơ nhạt, mềm
– 50g đường trắng
– 2 quả trứng to
– 1 tbs sữa tươi
– Icing sugar và bột cacoa để phủ lên bánh
"
Cách làm Bánh quy vừng xốp giòn,"( làm khoảng 25 cái)
– 250g bơ nhạt, để mềm
– 130g đường trắng
– 1 tbs vỏ chanh bào nhỏ
– 300g bột mì đa dụng
– 1 lòng trắng trứng, dùng dĩa khuấy tan
– 2 tbs mật ong
– 130g vừng trắng"
Cách làm Bánh dâu tây sữa chua,"(11-12 cupcakes)
– 115g bơ mềm
– 110g đường trắng
– 1 tsp vanilla
– 2 quả trứng nhỏ
– 250g bột mì đa dụng
– 1 tsp baking soda
– 1/2 tsp baking powder
– 240ml sữa chua không đường
– dâu tây thái lát ( lượng sử dụng tùy ý, nhưng vừa phải, không dùng quá nhiều)
"
Cách làm bánh quy cam siêu mỏng siêu giòn – Orange wafers,"– 80g vừng trắng
– 100g bột mì đa dụng
– 1/8 tsp muối
– 90g bơ mềm
– 70g đường bột
– 1 tbs vanilla
– Vỏ 1 quả cam, bào vụn
– 3 lòng trắng trứng , dùng đũa quấy cho đều.
"
Bánh quy ngón tay – Lady fingers,"(làm khoảng 30 cái dài 7-8cm)
– 3 quả trứng, tách riêng lòng trắng, đỏ
– 6 tbs bột ngô
– 6 tbs bột mì đa dụng
– 60g đường trắng hạt mịn
– Đường bột
"
Bánh phômai vị tiramisu – Tiramisu cheesecake,"– 250g bánh lady fingers
– 3 tbs bơ chảy
– 6 tbs rượu vị cà phê hoặc chocolate (mình dùng rượu Baileys)
– 680g cream cheese
– 227g mascarpone cream cheese
– 160g đường trắng
– 2 quả trứng
– 4 tbs bột mì đa dụng
– 30g chocolate đắng
"
Bánh quy bơ với quả khô,"(làm khoảng 30 cái)
– 350g bột mì đa dụng
– 100g đường bột
– 1/8 tsp muối
– 180g bơ nhạt, cắt thành khối nhỏ
– 1 quả trứng to
– 45g currant khô
"
Bánh quy hạt điều,"(làm khoảng 30 cái)
– 250g bột mì đa dụng
– 1/2 tsp muối
– 60g bơ nhạt, cắt thành khối nhỏ
– 3 lòng đỏ trứng, quấy nhẹ cho tan
– 100-120g đường trắng
– 25g hạt điều, thái vụn
– Vỏ bào của 1 nửa quả chanh vàng
– 90ml sữa tươi
"
Pancake – bánh nướng chảo,"(3-4 người)
– 140g bột mì đa dụng
– 2 tsp baking powder
– 1/4 tsp muối
– 2 tbs. đường trắng
– 1 quả trứng, đánh nhẹ
– 240ml sữa tươi
– 28g bơ nhạt, đun chảy
– Một ít bơ dùng để bôi trơn chảo
"
Bánh cheesecake ngon ngất ngây – NewYork-style Cheesecake,"(cho khay tròn, tháo đế, đường kính 22-23cm)
* Đế bánh: Khoảng 12 cái bánh quy Marie, nghiền vụn, trộn với 1/4 cup đường trắng, và 15g bơ đun chảy. Ấn chặt bánh quy xuống đáy khuôn.
* 850 – 900g creamcheese để mềm.
60ml whipping cream, 2tbs bột mì, 1 tsp vanilla
5 quả trứng + 2 lòng đỏ."
Cách làm bánh brownie phô-mai-Creamcheese Brownies,"(cho khuôn vuông 23x23cm, hoặc chữ nhật tương đương)
– 113g bơ nhạt, cắt thành mẩu nhỏ
– 114g chocolate đắng, cắt vụn
– 180g đường trắng
– 1tsp vanilla
– 2 quả trứng
– 1/4 tsp muối
– 70g bột mì đa dụng
– 227g creamcheese, để nhiệt độ phòng
– 40g đường trắng
– 1tsp vanilla
– 1 quả trứng"
Bánh hạnh nhân siêu giòn siêu ngon – Almond Tuiles,"– 70g lòng trắng trứng, để nhiệt độ phòng.
– 60g đường bột (icing sugar)
– 50-60g bơ chảy
– 50g bột mì
– 1 nhúm muối
– Hạnh nhân lát: thích ăn nhiều thì dùng hết nhiều, nhưng hơi tốn 😛"
Cách làm bánh cheesecake kiểu Nhật siêu mềm – Japanese Cotton Cheesecake,"– 120g đường trắng (loại hạt nhỏ mịn)
– 6 lòng trắng trứng
-1/4 tsp cream of tartar
– 50g bơ nhạt
– 250g creamcheese
– 100ml sữa tươi
– 6 lòng đỏ trứng
– 1tbs. nước cốt chanh
– 60g cake flour (hoặc plain flour rây mịn)
– 20g bột ngô"
Cách làm bánh bông lan trứng muối chà bông,"7 quả trứng to, tách riêng lòng trắng, đỏ
50g sữa tươi
50g dầu hạt cải / dầu hướng dương
1/2 tsp tinh chất vanilla
75g bột mì cake flour
75g bột ngô
60g đường trắng
1 tsp cream of tartar
1/8 tsp muối"
Cách làm bánh Bông lan/Gato HongKong lá dứa,"4 quả trứng, tách riêng lòng trắng và lòng đỏ
80g đường trắng
1/4 tsp cream of tartar
70g nước cốt lá dứa đặc
35g dầu hạt cải (canola oil), hoặc dầu hướng dương (sunflower oil)
65g bột mì cake flour
50g bột ngô (corn starch)
250ml kem whipping cream + 30g đường
dây tây để trang trí"
Lỗi thường gặp khi làm bánh,"Nhiều bạn có bộ thìa đong, bộ cup đong nhưng lại chưa để ý đong thế nào là chuẩn, có người đong võng (ít hơn) và có người đong vồng (nhiều hơn). Vậy cần dùng thìa đong, cup đong như thế nào cho đúng?
Cách đong chuẩn là bạn đong thật đầy, không cần ấn chặt, sau đó dùng 1 dụng cụ gạt phẳng mặt, như vậy sẽ có được lượng đong chuẩn. Điều này áp dụng với nguyên liệu khô, còn nguyên liệu lỏng thì đương nhiên bạn đong đầy đến mặt là ko thế đong quá được nữa ?"
Làm bánh Bông lan/Gato cơ bản bằng nồi cơm điện,"100g bột mì cake flour
75g đường trắng
3 quả trứng to
1/4 tsp muối tinh
40ml dầu ăn
30ml sữa tươi
1/2 tsp vanilla (bạn dùng loại bột hay nước đều được)"
4 cách làm bánh Flan – Creme caramel đơn giản mà ngon,"byĐặng Ngọc Linh
October 26, 2008"
Tên gọi và phân biệt các loại bánh phương Tây,"Bánh Cupcake: là một trong nhiều cách trình bày của cake, bánh dạng nhỏ, đựng trong những chiếc cup giấy xinh xắn."
Cách làm bánh bao chiên bằng nồi chiên không dầu,"byĐặng Ngọc Linh
October 14, 2009"
Bánh Bí ngòi chiên mặn,"1 quả bí ngòi cỡ to
1/4 cup bột mì
1/4 cup phomai parmesan bào vụn
1/4 tsp muối
1/4 tsp tiêu xay
1 quả trứng
vài tép tỏi băm nhuyễn
dầu ăn"
"Bánh quy bột đậu nành, yến mạch và quả nam việt quất khô","100g bơ nhạt, để mềm
80g đường nâu
100g bã đậu nành (sau khi lọc lấy sữa đậu nành, các bạn vắt hoặc ép cho bã đậu hết nước).
100g bột mì đa dụng
1 tsp baking powder
1/4 tsp muối
30g yến mạch
50g hạt óc chó thái vụn
20g cranberry khô"
Bánh mì quế nhân kem táo – Cinnamon Apple Custard Cake Bun,"120g tangzhong (xem công thức tại http://kokotaru.com/2014/08/banh-mi-la-dua/)
125ml sữa tươi không đường
1 trứng
50g đường
1 tsp muối
350g bột bánh mì
1 tbs bột sữa
2 tsp men khô
30g bơ nhạt, nhiệt độ phòng"
Bí ngòi nướng phô-mai parmesan,"Bí ngòi
muối, tiêu
phô-mai parmesan bào
lá gia vị khô gồm oregano, basil, thyme"
Bánh chuối dừa vừng nướng thơm phức – Banana coconut sesame cake,"200g bột mì đa dụng
1 tsp baking powder
1/4 tsp muối
500g chuối chín (tính cả vỏ)
100g đường
3 quả trứng to
50ml nước cốt dừa
50ml dầu hạt cải hoặc dầu hướng dương
50g vừng trắng"
Bánh ngũ cốc ăn vặt – Snack bars,"1/4 cup đường bột
1 1/2 cup yến mạch
1/2 cup hạt óc chó và hạnh nhân thái nhỏ
1/2 cup hoa quả khô
1/4-1/2 cup các loại hạt như vừng, hạt hướng dương, hạt bí, hạt dưa…
1/2 tsp muối
1 tsp bột quế
1 1/4 cup sữa tươi
1 trứng
1 tsp vanilla extract"
Bánh kem phô-mai với bánh oreo – Oreo cheesecake cupcake,"20-25 cái bánh oreo
500g creamcheese, để mềm
1/4 cup đường trắng
1 tsp vanilla extract
2 quả trứng
100g sữa chua (loại không đường)
1/8 tsp muối"
Passion Fruit Souffle – souffle chanh leo,"byĐặng Ngọc Linh
April 6, 2017
1 share				







0





0





1"
Cách làm Cupcake vừng đen,"byĐặng Ngọc Linh
June 16, 2011"
Cách làm Macarons – chiếc bánh quyến rũ của Pháp,"byĐặng Ngọc Linh
January 22, 2017
4 shares				







0





0





4"
Cách làm bánh mì hoa quả khô,"byĐặng Ngọc Linh
October 13, 2009
1 share				







0





0





1"
Honey Castella – bánh mật ong Kasutera,"byĐặng Ngọc Linh
September 30, 2014
2 shares				







0





0





2"
Bánh bơ lá dứa hạt poppy-Pandan Poppy Seeds Butter Cake,"byĐặng Ngọc Linh
February 21, 2021"
Cách làm Donut – những chiếc bánh thơm nức,"byĐặng Ngọc Linh
June 23, 2020
1 share				







0





0





1"
Souffle Trà xanh,"byĐặng Ngọc Linh
February 2, 2015"
Cách làm bánh mì lá dứa,"byĐặng Ngọc Linh
September 15, 2011"
Pandan Kaya (Mứt lá dứa truyền thống Malaysia),"byĐặng Ngọc Linh
August 20, 2009"
Cách làm Sữa bắp,"byĐặng Ngọc Linh
September 15, 2014"
Cách làm bánh dẻo,"byĐặng Ngọc Linh
November 2, 2008
2 shares				







0





0





2"
Cách làm Bánh Trung Thu Ngàn Lớp,"byĐặng Ngọc Linh
June 16, 2009"
Giải đáp nguyên liệu làm bánh trung thu,"byĐặng Ngọc Linh
June 29, 2017
2 shares				







0





0





2"
Cách làm bánh quy vừng đen,"byĐặng Ngọc Linh
July 19, 2020"
Cách làm nhân bánh trung thu,"byĐặng Ngọc Linh
July 19, 2014
1 share				







0





0





1"
Cách làm bánh socola ít béo -Low-fat Chocolate Soufflé,"byĐặng Ngọc Linh
October 20, 2009"
Cookies gạo vừng đen,"byĐặng Ngọc Linh
August 23, 2020
1 share				







0





0





1"
Cách làm nước đường bánh nướng,"byĐặng Ngọc Linh
November 27, 2015"
Cách làm Nước gạo rang,"byĐặng Ngọc Linh
July 2, 2010"
Cách làm bánh chanh dừa và hạt poppy,"byĐặng Ngọc Linh
October 28, 2009"
Cách làm Sweet and Salty Brownies,"byĐặng Ngọc Linh
January 9, 2021"
Cách làm Xốt cà chua cho pizza,"byĐặng Ngọc Linh
August 17, 2009"
Hạt điều ngào mật ong ăn vặt,"byĐặng Ngọc Linh
April 22, 2017"
Cách làm bánh socola bằng lò vi sóng – Chocolate Mug Cake,"byĐặng Ngọc Linh
September 8, 2010"
Cách làm panna cotta trà xanh – Matcha panna cotta,"byĐặng Ngọc Linh
July 31, 2009"
Cách làm Hạt điều mặn ăn vặt,"byĐặng Ngọc Linh
October 13, 2009"
Cách làm Bánh quy quế thơm,"byĐặng Ngọc Linh
May 8, 2012
5 shares				







0





0





5"
Cách làm Chè khúc bạch,"byĐặng Ngọc Linh
April 21, 2017"
Cupcake bí đỏ,"byĐặng Ngọc Linh
August 15, 2008
1 share				







0





0





1"
Bánh quy mặn vị phômai-Cheddar and black pepper crackers,"byĐặng Ngọc Linh
April 6, 2009
1 share				







0





0





1"
